bigg_id,reaction_name,,subsytem
GALGT3,"Beta-1,4 N-acetylgalactosaminyltransferase",,Sphingolipid metabolism
GALNACT1g,"UDPGal-chondroitin acetylgalactosaminyltransferase I, Golgi",,Chondroitin synthesis
GALNACT2g,"Uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi",,Chondroitin synthesis
GALNACT3g,"Uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi",,Chondroitin synthesis
GALNACT4g,"Uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi",,Chondroitin synthesis
GALNACT5g,"Uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II, Golgi",,Chondroitin synthesis
GALSIDEtg,Galactocerebroside intracellular transport,,"Transport, golgi apparatus"
GALSIDEtl,Galactocerebroside intracellular transport,,"Transport, lysosomal"
GALt1r,Galactose transport (uniport),,"Transport, extracellular"
GALT2g,"UDP-D-galactose:galactosylxylose galactosyltransferase, Golgi apparatus",,Chondroitin synthesis
GALtly,Galactose efflux from lysosome,,"Transport, lysosomal"
GAO1g,Ganglioside O-acetylation,,Sphingolipid metabolism
GARFT,Phosphoribosylglycinamide formyltransferase,,Purine synthesis
GASNASE2ly,"Glycosylasparaginase, lysosomal",,N-glycan degradation
GASNASEly,"Glycosylasparaginase, lysosomal",,N-glycan degradation
GBA,Glucosylceramidase,,Sphingolipid metabolism
GBGT1,"Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1",,Sphingolipid metabolism
GBSIDEte,Globoside transport,,"Transport, extracellular"
GBSIDEtl,Globoside intracellular transport,,"Transport, lysosomal"
GCCam,Glycine cleavage complex  lipoylprotein   mitochondrial,,"Glycine, serine, alanine, and threonine metabolism"
GCHOLAt2,Glycocholate transport via sodium cotransport,,"Transport, extracellular"
GD1B2te,Gd1b2 hs transport,,"Transport, extracellular"
GD1Cte,Gd1c hs  transport,,"Transport, extracellular"
GDPFUCtg,GDPFuc Golgi transport via CMP antiport,,"Transport, golgi apparatus"
GFUCS,GDP-L-fucose synthase,,Fructose and mannose metabolism
GGH_10FTHF7GLUl,"Gamma-glutamyl hydrolase (10FTHF7GLU), lysosomal",,Folate metabolism
GGH_5THFl,"Gamma-glutamyl hydrolase (5THF), lysosomal",,Folate metabolism
GGH_6DHFl,"Gamma-glutamyl hydrolase (6DHF), lysosomal",,Folate metabolism
GGH_7THFe,"Gamma-glutamyl hydrolase (7THF), extracellular",,Folate metabolism
GGLUCT,Gamma-glutamylcyclotransferase,,Glutathione metabolism
GHMT2rm,Glycine hydroxymethyltransferase  reversible  mitochondrial,,"Glycine, serine, alanine, and threonine metabolism"
GLAl,"Galactosidase, alpha",,Sphingolipid metabolism
GLB1,Beta-galactosidase,,Sphingolipid metabolism
GLCAASE4ly,"Beta-glucuronidase, lysosomal",,Chondroitin sulfate degradation
GLCAASE6ly,"Beta-glucuronidase, lysosomal",,Chondroitin sulfate degradation
GLCAASE7ly,"Beta-glucuronidase, lysosomal",,Chondroitin sulfate degradation
GLCAASE8ly,"Beta-glucuronidase, lysosomal",,Hyaluronan metabolism
GLCAASE9ly,"Beta-glucuronidase, lysosomal",,Hyaluronan metabolism
GLCAT4g,"Chondroitin glucuronyltransferase II, Golgi apparatus",,Chondroitin synthesis
GLCAT5g,"Chondroitin glucuronyltransferase II, Golgi apparatus",,Chondroitin synthesis
GLCAT6g,Heparan glucuronyltransferase II,,Chondroitin synthesis
GLCAT7g,Heparan glucuronyltransferase II,,Chondroitin synthesis
GLCAT8g,Heparan glucuronyltransferase II,,Chondroitin synthesis
GLCNACASE5ly,"Alpha-N-acetylglucosaminidase, lysosomal",,Heparan sulfate degradation
GLCNACDASg,GlcNAc N-deacetylase / N-sulfotransferase,,Chondroitin synthesis
GLCNACT2g,Alpha-N-acetylglucosaminyltransferase II,,Chondroitin synthesis
GLCNACT5g,Alpha-N-acetylglucosaminyltransferase II,,Chondroitin synthesis
GLCter,"Glucose transport, endoplasmic reticulum",,"Transport, endoplasmic reticular"
GLCtly,Glucose efflux from lysosome,,"Transport, lysosomal"
GLGNS1,Glycogen synthase (ggn -> glygn1),,Starch and sucrose metabolism
GLNALANaEx,L-alanine/L-glutamine Na-dependent exchange (Gln-L in),,"Transport, extracellular"
GLNASNNaEx,L-glutamine/L-asparagine Na-dependent exchange (Gln-L in),,"Transport, extracellular"
GLNCYSNaEx,L-cysteine/L-glutamine Na-dependent exchange (Gln-L in),,"Transport, extracellular"
GLNtm,L-glutamine transport via electroneutral transporter,,"Transport, mitochondrial"
GLPASE1,Glycogen phosphorylase (glygn2 -> dxtrn),,Starch and sucrose metabolism
GLPASE2,Glycogen phosphorylase (amyls -> glc-D),,Starch and sucrose metabolism
GLRASE,Glucuronolactone reductase,,Vitamin C metabolism
GLUt6,"Glutamate transport via Na, H symport and K antiport",,"Transport, extracellular"
GLXO2p,"Glyoxylate oxidase, peroxisomal",,Glyoxylate and dicarboxylate metabolism
GLXtp,Glyoxylate transport  peroxisomal,,"Transport, peroxisomal"
GLYAMDTRc,Glycine amidinotransferase (c),,Urea cycle
GLYBt4_2_r,GLYBt4 LPAREN 2 RPAREN r,,"Transport, extracellular"
GLYCK2,Glycerate kinase,,Glyoxylate and dicarboxylate metabolism
GLYCLTDym,"Glycolate dehydrogenase (NADP), mitochondrial",,Glyoxylate and dicarboxylate metabolism
GLYCLTtp,"Glycolate transport, glyoxysome",,"Transport, peroxisomal"
GLYC_St,L-glycerate export,,"Transport, extracellular"
GLYOp,"Glycine oxidase, perixosomal",,"Glycine, serine, alanine, and threonine metabolism"
GLYt4,Glycine transport via sodium symport,,"Transport, extracellular"
GLYt7_211_r,GLYt7 LPAREN 211 RPAREN r,,"Transport, extracellular"
GLYtm,Glycine passive transport to mitochondria,,"Transport, mitochondrial"
GLYVESSEC_1,Secretion of Glycine  via Secretory Vesicle (ATP Driven),,"Transport, extracellular"
GMPtg,GMP transport (Golgi),,"Transport, golgi apparatus"
GMPtn,GMP nuclear transport,,"Transport, nuclear"
GNDer,"Phosphogluconate dehydrogenase, endoplasmic reticulum",,Pentose phosphate pathway
GNMT,Glycine N-methyltransferase,,"Glycine, serine, alanine, and threonine metabolism"
GP1CALPHAtg,Gp1calpha hs intracellular transport,,"Transport, golgi apparatus"
GPAM_hs_1,Glycerol-3-Phosphate Acyltransferase,,Triacylglycerol synthesis
GPIDA2er,"Glycophosphatidylinositol (GPI) deacylase, endoplasmic reticulum",,Phosphatidylinositol phosphate metabolism
GPIDAer,"Glycophosphatidylinositol (GPI) deacylase, endoplasmic reticulum",,Phosphatidylinositol phosphate metabolism
GQ1BALPHAte,Gq1balpha hs transport,,"Transport, extracellular"
GQ1Btg,Gq1b hs intracellular transport,,"Transport, golgi apparatus"
GT1Ate,Gt1a hs transport,,"Transport, extracellular"
GT1Atg,Gt1a hs intracellular transport,,"Transport, golgi apparatus"
DHAOX_c,Dehydroascorbate oxidoreductase,,Vitamin C metabolism
GTHOm,Glutathione oxidoreductase,,Glutamate metabolism
GTHPi,Glutathione peridoxase,,Glutathione metabolism
GTHPm,Glutathione peroxidase  mitochondria,,Glutathione metabolism
GTHS,Glutathione synthetase,,Glutathione metabolism
GULLACter,Gulonolactone endoplasmic reticular transport,,"Transport, endoplasmic reticular"
GULN3D,L-gulonate 3-dehydrogenase,,Pentose phosphate pathway
GULNDer,"Gulonate dehydrogenase, endoplasmic reticulum",,Pentose phosphate pathway
GULNter,L-gulonate endoplasmic reticular export,,"Transport, endoplasmic reticular"
GUR1PP,Glucuronate 1-phosphate phosphatase,,Pentose phosphate pathway
HCO3Em,HCO3 equilibration reaction,,Miscellaneous
H2O2syn,Hydrogen peroxide synthesis (NADPH dependent),,Tyrosine metabolism
H2O2t,Hydrogen peroxide transport via diffusion,,"Transport, extracellular"
H2O2tm,"Hydrogen peroxide transport via diffusion, mitochondria",,"Transport, mitochondrial"
H2Oter,H2O endoplasmic reticulum transport,,"Transport, endoplasmic reticular"
H2Otg,"H2O transport, Golgi apparatus",,"Transport, golgi apparatus"
H3MTer_U,"H3 mannosyltransferase, endoplasmic reticulum",,Phosphatidylinositol phosphate metabolism
H4ET3er,"H4 phosphoethanolaminyl transferase, endoplasmic reticulum",,Phosphatidylinositol phosphate metabolism
H4ETer,"H4 phosphoethanolaminyl transferase, endoplasmic reticulum",,Phosphatidylinositol phosphate metabolism
H6ET3er,"H6 phosphoethanolaminyl transferase, endoplasmic reticulum",,Phosphatidylinositol phosphate metabolism
H7ET2er,"H7 phosphoethanolaminyl transferase, endoplasmic reticulum",,Phosphatidylinositol phosphate metabolism
HACD1x,(S)-3-Hydroxybutanoyl-CoA:NAD oxidoreductase,,Tryptophan metabolism
HACD9m,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase",,"Valine, leucine, and isoleucine metabolism"
HAS1,Hyaluronan synthase,,Hyaluronan metabolism
HAtly,"Hyaluronan transport, extracellular to lysosome",,"Transport, lysosomal"
HBZOPT10m,Hydroxybenzoate Decaprenyltransferase,,Ubiquinone synthesis
HCO3_CLt,Bicarbonate transport (Cl-/HCO3- exchange),,"Transport, extracellular"
HCOUMARINte,Xenobiotic transport,,"Transport, extracellular"
HDCAt,Hexadecanoate  n C160  transport in via uniport,,"Transport, extracellular"
HDD2COAtx,Hdd2coa intracellular transport,,"Transport, peroxisomal"
HESTRATRIOLte,Hydroxylated estrogen derivative transport,,"Transport, extracellular"
HESTRATRIOLtr,Hydroxylated estrogen derivative transport,,"Transport, endoplasmic reticular"
HEX4,Hexokinase (D-mannose:ATP),,Fructose and mannose metabolism
HEXCt,Fatty acid transport via diffusion,,"Transport, extracellular"
HISDC,Histidine decarboxylase,,Histidine metabolism
HISt4,L-histidine transport in via sodium symport,,"Transport, extracellular"
HISTAVESSEC_1,Histamine Secretion via Secretory Vesicle (ATP Driven),,"Transport, extracellular"
HMGCOASm,Hydroxymethylglutaryl CoA synthase  mitochondrial,,Cholesterol metabolism
HMGCOAtm,Hydroxymethylglutaryl CoA reversible mitochondrial transport,,"Transport, mitochondrial"
HMGCOAtx,Hydroxymethylglutaryl-CoA reversible peroxisomal transport,,"Transport, peroxisomal"
HMGLm,Hydroxymethylglutaryl-CoA lyase,,Cholesterol metabolism
HMGLx,Hydroxymethylglutaryl-CoA lyase,,Cholesterol metabolism
HOMt4,L-homoserine via sodium symport,,"Transport, extracellular"
HPACtr,Hydroxyphenylacetate transport via diffusion,,"Transport, extracellular"
HPDCACRNCPT1,Carnitine fatty-acyl transferase,,Fatty acid oxidation
HPDCACRNCPT2,Heptadecanoate transport into the mitochondria,,Fatty acid oxidation
HPYRDCm,"Hydroxypyruvate decarboxylase, mitochondria",,Glyoxylate and dicarboxylate metabolism
HPYRR2x_1,Hydroxypyruvate Reductase (NADH),,Glyoxylate and dicarboxylate metabolism
HPYRtp,"Hydroxypyruate transport, peroxisomal",,"Transport, peroxisomal"
HS2ly,"Heparan-N-sulfatase, lysosomal",,Heparan sulfate degradation
HSAT2ly,"Heparan-glucosaminide N-acetyltransferase, lysosomal",,Heparan sulfate degradation
HSAT3ly,"Heparan-glucosaminide N-acetyltransferase, lysosomal",,Heparan sulfate degradation
HSD17B42x_1,Hydroxysteroid (17-Beta) Dehydrogenase 4,,Bile acid synthesis
HSD17B4x,Hydroxysteroid (17-beta) dehydrogenase 4,,Bile acid synthesis
HSD17B7r,Testicular 17-beta-hydroxysteroid dehydrogenase,,Steroid metabolism
HSD17B8r,17-beta-hydroxysteroid dehydrogenase,,Steroid metabolism
HSD17B9r,17-beta-hydroxysteroid dehydrogenase (type 7),,Steroid metabolism
HSD3A1r,3 alpha-hydroxysteroid dehydrogenase (type 3),,Steroid metabolism
HSD3B11,3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,,Steroid metabolism
HSD3B12r,3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,,Steroid metabolism
HSD3B13,3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,,Steroid metabolism
HSD3B3r,3 beta-hydroxysteroid dehydrogenase type 1,,Steroid metabolism
HSD3B7P,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",,Bile acid synthesis
HSPASEly,"Heparan sulfate proteoglycan protease, lysosome (endosome)",,Heparan sulfate degradation
HSPGt,"Heparan sulfate transport, golgi to extracellular",,"Transport, extracellular"
HTAXOLte,Xenobiotic transport,,"Transport, extracellular"
Htx,"H transporter, peroxisome",,"Transport, peroxisomal"
HXANtx,Hypoxanthine diffusion in peroxisome,,"Transport, peroxisomal"
HYPTROX_cho,Hypotaurine oxidase,,Taurine and hypotaurine metabolism
ICDHyr,Isocitrate dehydrogenase (NADP),,Citric acid cycle
ICDHyp,Isocitrate dehydrogenase  NADP ,,Citric acid cycle
IDHPOXOX2b,Iodide:hydrogen-peroxide oxidoreductase 2,,Tyrosine metabolism
IDHPOXOX3,Iodide:hydrogen-peroxide oxidoreductase 3,,Tyrosine metabolism
IDHPOXOX4,Iodide:hydrogen-peroxide oxidoreductase 4,,Tyrosine metabolism
IDHPOXOXb,Iodide:hydrogen-peroxide oxidoreductase,,Tyrosine metabolism
IDOAASE3ly,"Alpha-L-iduronidase, lysosomal",,Heparan sulfate degradation
IDOAASE4ly,"Alpha-L-iduronidase, lysosomal",,Chondroitin sulfate degradation
IDOURtly,Iduronate transport into lysososme,,"Transport, lysosomal"
IDPtn,IDP nuclear transport,,"Transport, nuclear"
ILEt4,L-isoleucine transport in via sodium symport,,"Transport, extracellular"
ILEtmi,Isoleucine transport from mitochondria to cytosol,,"Transport, mitochondrial"
ILETAm,Isoleucine transaminase  mitochondrial,,"Valine, leucine, and isoleucine metabolism"
INOSTO,Myo-Inositol:oxygen oxidoreductase,,Inositol phosphate metabolism
INSt,Inosine transport (diffusion),,"Transport, extracellular"
INSTt2,Inositol transport in via proton symport,,"Transport, extracellular"
INSTt4,Inositol transport via sodium symport,,"Transport, extracellular"
IPDPtx,Isopentenyl diphosphate transport (peroxisome),,"Transport, peroxisomal"
ITCOALm,Itaconate  CoA ligase  ADP forming   mitochondrial,,C5-branched dibasic acid metabolism
ITPtn,ITP nuclear transport,,"Transport, nuclear"
KAS8,"B-ketoacyl synthetase (palmitate, n-C16:0)",,Fatty acid synthesis
KCC2t,K+-Cl- cotransporter (NH4+),,"Transport, extracellular"
KCCt,K+-Cl- cotransport,,"Transport, extracellular"
KHK,Ketohexokinase,,Fructose and mannose metabolism
KHK2,Ketohexokinase (D-xylulose),,Glyoxylate and dicarboxylate metabolism
KSII_CORE2tly,"Keratan sulfate II (core 2) transport, extracellular to lysosome",,"Transport, lysosomal"
KSII_CORE4t,"Keratan sulfate II (core4) transport, golgi to extracellular",,"Transport, extracellular"
KSItly,"Keratan sulfate I transport, extracellular to lysosome",,"Transport, lysosomal"
KYN3OX,Kynurenine 3 monooxygenase,,Tryptophan metabolism
KYNATESYN,"4-(2-Aminophenyl)-2,4-dioxobutanoate dehydratase",,Tryptophan metabolism
LACZe,"B-galactosidase, extracellular",,Galactose metabolism
LALDO,D-Lactaldehyde NAD+ oxidoreductase (glutathione-formylating),,Pyruvate metabolism
LAPCOAl,Lysosomal acid phosphorylase (CoA),,CoA catabolism
LCADi_D,Lactaldehyde dehydrogenase,,Pyruvate metabolism
LCTStg,Lactose transport from Golgi to extracellular (via vesicle),,"Transport, extracellular"
LCYSTAT,L-Cysteate:2-oxoglutarate aminotransferase,,Methionine and cysteine metabolism
LCYSTCBOXL,3-Sulfoalanine carboxy-lyase,,Taurine and hypotaurine metabolism
LEUKTRA4tr,Leukotriene intracellular transport,,"Transport, endoplasmic reticular"
LEUKTRB4t,Leukotriene B4 transmembrane (homo sapiens) transport,,"Transport, extracellular"
LEUKTRB4tr,Leukotriene intracellular transport,,"Transport, endoplasmic reticular"
LEUKTRC4t,Leukotriene C4 transport via bicarbonate countertransport,,"Transport, extracellular"
LEUKTRD4t,Leukotriene D4 transport,,"Transport, extracellular"
LEUKTRE4t,Leukotriene E4 transport,,"Transport, extracellular"
LEUKTRF4t,Leukotriene F4 transport,,"Transport, extracellular"
LEUTAm,Leucine transaminase  mitochondrial,,"Valine, leucine, and isoleucine metabolism"
TTCCOAtx,Fatty acid intracellular transport,,"Transport, peroxisomal"
LIMNENte,Xenobiotic transport,,"Transport, extracellular"
LINKDEG1ly,"Degradation of proteoglycan linkage region, lysosomal",,Heparan sulfate degradation
LINKDEG2ly,"Degradation of proteoglycan linkage region, lysosomal",,Chondroitin sulfate degradation
LINKDEG3ly,"Degradation of proteoglycan linkage region, lysosomal",,Chondroitin sulfate degradation
LIPOti_1,Transport of Lipoate  via Sodium Symport,,"Transport, extracellular"
L_LACtcm,L-lactate transport via diffusion (cytosol to mitochondria),,"Transport, mitochondrial"
LNLCCPT1,Carnitine O-palmitoyltransferase,,Fatty acid oxidation
LNLCCPT2,Carnitine transferase,,Fatty acid oxidation
LNLCCRNt,Transport into the mitochondria (carnitine),,Fatty acid oxidation
LNLCt,Linoleic acid (n-C18:2) transport in via diffusion,,"Transport, extracellular"
LNLNCAt,Fatty acid transport via diffusion,,"Transport, extracellular"
LNLNCGCPT2,Carnitine transferase,,Fatty acid oxidation
LNLNCGCRNt,Transport into the mitochondria (carnitine),,Fatty acid oxidation
LNLNCGt,Fatty acid transport via diffusion,,"Transport, extracellular"
LPASE,Lysophospholipase,,Glycerophospholipid metabolism
LPS2,Lipase,,Triacylglycerol synthesis
LPS3e,"Lipase, extracellular",,Fatty acid oxidation
LPS4e,Phospholipase,,Triacylglycerol synthesis
LRAT1,Lecithin retinol acyltransferase (11-cis),,Vitamin A metabolism
LRAT2,Lecithin retinol acyltransferase (9-cis),,Vitamin A metabolism
LSTO1r,Lathosterol oxidase,,Cholesterol metabolism
LTC4CP,Leukotriene C4 carboxypeptidase,,Eicosanoid metabolism
LTC4Sr,Leukotriene C4 synthase,,Eicosanoid metabolism
LTDCL,L-Tryptophan decarboxy-lyase,,Tryptophan metabolism
LYSt4,L-lysine transport in via sodium symport,,"Transport, extracellular"
LYStm,Lysine mitochondrial transport via ornithine carrier,,"Transport, mitochondrial"
LYStn,"L-lysine transport, nuclear",,"Transport, nuclear"
M4BTAer,"M4B transamidase, endoplasmic reticulum",,Phosphatidylinositol phosphate metabolism
M4CET3er,"M4C phosphoethanolaminyl transferase, endoplasmic reticulum",,Phosphatidylinositol phosphate metabolism
MACACI,Maleylacetoacetate isomerase,,Tyrosine metabolism
MALTe,"Alpha-glucosidase, extracellular",,Starch and sucrose metabolism
MALTly,"Alpha-glucosidase, lysosomal",,Starch and sucrose metabolism
MALtm,Malate transport  mitochondrial,,"Transport, mitochondrial"
MALTt1r,Maltose transport (uniport),,"Transport, extracellular"
MANt1r,Mannose transport (uniport),,"Transport, extracellular"
MANtly,Mannose efflux from lysosome,,"Transport, lysosomal"
MCDp,Malonyl-CoA Decarboxylase peroxisomal,,Fatty acid oxidation
MCLACCYSR,3-mercaptolactate:cysteine reductase,,Methionine and cysteine metabolism
MCLORi,3-Mercaptolactate:NAD+ oxidoreductase irreversible,,Methionine and cysteine metabolism
MCPST,3-mercaptopyruvate sulfurtransferase,,Methionine and cysteine metabolism
MDRPD,5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,,Arginine and proline metabolism
ME1m,Malic enzyme  NAD   mitochondrial,,Pyruvate metabolism
ME2m,Malic enzyme  NADP   mitochondrial,,Pyruvate metabolism
MECOALm,"Mesaconate--CoA ligase (ADP-forming), mitochondrial",,C5-branched dibasic acid metabolism
MECOAS1m,Mesaconate--CoA ligase (GDP-forming),,C5-branched dibasic acid metabolism
MELATN23DOX,"Melatonin:oxygen 2,3-dioxygenase (indole-decyclizing)",,Tryptophan metabolism
MELATNOX,Melatonin:NADP oxidoreductase,,Tryptophan metabolism
MEOHt2,Methanol diffusion,,"Transport, extracellular"
MESCOALm,Mesaconyl-CoA pyruvate-lyase,,C5-branched dibasic acid metabolism
METAT,Methionine adenosyltransferase,,Methionine and cysteine metabolism
METS,Methionine synthase,,Methionine and cysteine metabolism
METtec,L-methionine transport via diffusion (extracellular to cytosol),,"Transport, extracellular"
MGACONm,"Methylglutaconase, mitochondrial",,C5-branched dibasic acid metabolism
MGSA2,Methyglyoxylate synthase 2 (from g3p),,Pyruvate metabolism
MHISOR,N-Methylhistamine:oxygen oxidoreductase (deaminating),,Histidine metabolism
MI1345PP,"D-myo-Inositol 1,3,4,5-tetrakisphosphate 5-phosphohydrolase",,Inositol phosphate metabolism
MI134P4P,"Inositol-1,3,4-trisphosphate 4-phosphatase",,Inositol phosphate metabolism
MI134PP,"D-myo-Inositol 1,3,4-trisphosphate 1-phosphohydrolase",,Inositol phosphate metabolism
MI145PK,"Inositol-1,4,5-trisphosphate 3-kinase",,Inositol phosphate metabolism
MI145PP,"D-myo-Inositol-1,4,5-trisphosphate 5-phosphohydrolase",,Inositol phosphate metabolism
MI14PP,"D-myo-Inositol-1,4-bisphosphate 1-phosphohydrolase",,Inositol phosphate metabolism
MI1P_Dtn,Inositol 1-phosphate nuclear transport (diffusion),,"Transport, nuclear"
MMCDm,"Methylmalonyl-CoA decarboxylase, mitochondrial",,"Valine, leucine, and isoleucine metabolism"
MMEm,Methylmalonyl-CoA epimerase/racemase,,"Valine, leucine, and isoleucine metabolism"
MMMm,Methylmalonyl-CoA mutase,,"Valine, leucine, and isoleucine metabolism"
MMSAD1m,Methylmalonate-semialdehyde dehydrogenase,,"Valine, leucine, and isoleucine metabolism"
MMTSADm,"Malonate-semialdehyde dehydrogenase (acetylating), mitochondrial",,"Valine, leucine, and isoleucine metabolism"
MOGAT,Monoacylglycerol acyltransferase,,Triacylglycerol synthesis
MTHFCm,Methenyltetrahydrifikate cyclohydrolase  mitochondrial,,Folate metabolism
MTHFD2m,"Methylenetetrahydrofolate dehydrogenase (NAD), mitochondrial",,Folate metabolism
N3Tg,"N-acetylgalactosamine 3-beta-galactosyltransferase, Golgi apparatus",,O-glycan metabolism
NABTNO,N4 AcetylaminobutanalNAD oxidoreductase,,Arginine and proline metabolism
NACASPAH,N-Acetyl-L-aspartate amidohydrolase,,Alanine and aspartate metabolism
NACHEX10ly,"Beta-N-acetylhexosaminidase, lysosomal",,Keratan sulfate degradation
NACHEX13ly,"Beta-N-acetylhexosaminidase, lysosomal",,Keratan sulfate degradation
NACHEX16ly,"Beta-N-acetylhexosaminidase, lysosomal",,Keratan sulfate degradation
NACHEX17ly,"Beta-N-acetylhexosaminidase, lysosomal",,Keratan sulfate degradation
NACHEX1ly,"Beta-N-acetylhexosaminidase, lysosomal",,Chondroitin sulfate degradation
NACHEX20ly,"Beta-N-acetylhexosaminidase, lysosomal",,Keratan sulfate degradation
NACHEX25ly,"Beta-N-acetylhexosaminidase, lysosomal",,Keratan sulfate degradation
NACHEX26ly,"Beta-N-acetylhexosaminidase, lysosomal",,Keratan sulfate degradation
NACHEX27ly,"Beta-N-acetylhexosaminidase, lysosomal",,Hyaluronan metabolism
NACHEX3ly,"Beta-N-acetylhexosaminidase, lysosomal",,Chondroitin sulfate degradation
NACHEX5ly,"Beta-N-acetylhexosaminidase, lysosomal",,Chondroitin sulfate degradation
NACHEX6ly,"Beta-N-acetylhexosaminidase, lysosomal",,Chondroitin sulfate degradation
NACHEX7ly,"Beta-N-acetylhexosaminidase, lysosomal",,Chondroitin sulfate degradation
NACHEX8ly,"Beta-N-acetylhexosaminidase, lysosomal",,Chondroitin sulfate degradation
NACHEX9ly,"Beta-N-acetylhexosaminidase, lysosomal",,Chondroitin sulfate degradation
NACHEXA10ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Keratan sulfate degradation
NACHEXA11ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Keratan sulfate degradation
NACHEXA12ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Keratan sulfate degradation
NACHEXA13ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Keratan sulfate degradation
NACHEXA15ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Keratan sulfate degradation
NACHEXA18ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Keratan sulfate degradation
NACHEXA20ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Keratan sulfate degradation
NACHEXA21ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Keratan sulfate degradation
NACHEXA2ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Chondroitin sulfate degradation
NACHEXA3ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Chondroitin sulfate degradation
NACHEXA4ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Chondroitin sulfate degradation
NACHEXA5ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Chondroitin sulfate degradation
NACHEXA7ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Chondroitin sulfate degradation
NACHEXA9ly,"Beta-N-acetylhexosaminidase A, lysosomal",,Keratan sulfate degradation
NACt,Nicotinic acid transport,,"Transport, extracellular"
NADHtru,"NADH transporter, endoplasmic reticulum",,"Transport, endoplasmic reticular"
NADNe,"NAD nucleosidase,extracellular",,NAD metabolism
NADPHtru,"NADPH transporter, endoplasmic reticulum",,"Transport, endoplasmic reticular"
NADPtru,"NADP transporter, endoplasmic reticulum",,"Transport, endoplasmic reticular"
NADPtxu,"NADP transport, glyoxysome",,"Transport, peroxisomal"
NADtn,NAD transport  nuclear through pores,,"Transport, nuclear"
NADtru,"NAD transporter, endoplasmic reticulum",,"Transport, endoplasmic reticular"
NAGAlby,"N-acetylgalactosaminidase, beta-",,Sphingolipid metabolism
NAIt,Na+ / iodide cotransport,,"Transport, extracellular"
NAt3_1g,Sodium proton antiporter (H:NA is 1:1),,"Transport, golgi apparatus"
NBAHH_ir,Nalpha-(beta-alanyl)-L-histidine hydrolase IR,,Beta-Alanine metabolism
NCCt,Na+-Cl- cotransport,,"Transport, extracellular"
NDP7g,"Nucleoside-diphosphatase (UDP), Golgi apparatus",,Nucleotide interconversion
NDP8,Nucleoside-diphosphatase (dUDP),,Nucleotide interconversion
NDP8ex,"Nucleoside-diphosphatase (UTP), extracellular",,Nucleotide interconversion
PI3P4Kn,"Phosphatidylinositol 3-phosphate 4-kinase, nuclear",,Inositol phosphate metabolism
NDPK3m,"ATP:CDP phosphotransferase, mitochondria",,Nucleotide interconversion
NDPK4m,"ATP:dTDP phosphotransferase, mitochondria",,Nucleotide interconversion
NDPK4n,"Nucleoside-diphosphate kinase (ATP:dTDP), nuclear",,Nucleotide interconversion
NDPK6m,"ATP:dUDP phosphotransferase, mitochondria",,Nucleotide interconversion
NDPK7m,"ATP:dCDP phosphotransferase, mitochondria",,Nucleotide interconversion
NDPK7n,"Nucleoside-diphosphate kinase (ATP:dCDP), nuclear",,Nucleotide interconversion
NDPK9n,"Nucleoside-diphosphate kinase (ATP:IDP), nuclear",,Nucleotide interconversion
NH4tn,Ammonia nuclear transport,,"Transport, nuclear"
NH4tp,Ammonia peroxisomal transport,,"Transport, peroxisomal"
NICRNS,Nicotinate D-ribonucleotide synthase (ATP),,NAD metabolism
NICRNTtn,"NICRNT transport, nuclear trhough pore",,"Transport, nuclear"
NIFEDIPINEte,Xenobiotic transport,,"Transport, extracellular"
NKCC2t,Na+-K+-Cl- cotransport (NH4+),,"Transport, extracellular"
NOS2_2,Nitric Oxide Synthase (No Forming),,Arginine and proline metabolism
NRPPHRSULT,Norepinephrine Sulfotransferase,,Tyrosine metabolism
NRVNCCOAtx,Fatty acid intracellular transport,,"Transport, peroxisomal"
NS26T2g,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase",,O-glycan metabolism
