metabolite_id,metabolite_name,metabolite_no_compartment,compartment
glu__L_l,L-Glutamate,glu,l
octd11ecoa_m,11-Octadecenoyl Coenzyme A,octd11ecoa,m
thf_l,"5,6,7,8-Tetrahydrofolate",thf,l
mlthf_m,"5,10-Methylenetetrahydrofolate",mlthf,m
lnlccoa_m,Linoleic coenzyme A,lnlccoa,m
dhlam_m,Dihydrolipoamide C8H17NOS2,dhlam,m
5oxpro_c,5-Oxoproline,5oxpro,c
lneldccoa_m,Linoelaidyl coenzyme A,lneldccoa,m
Tyr_ggn_c,Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis),Tyr,c
lpro_m,Lipoylprotein S2X,lpro,m
lnlncacoa_m,Alpha-Linolenoyl-CoA,lnlncacoa,m
alpro_m,S Aminomethyldihydrolipoylprotein CH6NS2X,alpro,m
dhlpro_m,Dihydrolipolprotein H2S2X,dhlpro,m
udpg_c,UDPglucose,udpg,c
lnlncgcoa_m,Gamma-linolenoyl-CoA,lnlncgcoa,m
ggn_c,"Primed glycogenin (glycogenin-8[1,4-Glc])",ggn,c
gchola_c,Glycocholate,gchola,c
ttc_ggdp_c,"Trans,trans,cis-Geranylgeranyl diphosphate",ttc,c
lnlncgcoa_x,Gamma-linolenoyl-CoA,lnlncgcoa,x
glu__L_r,L-Glutamate,glu,r
gd1b2_hs_c,GD1beta (homo sapiens),gd1b2,c
strdnccoa_m,Stearidonyl coenzyme A,strdnccoa,m
gd1b2_hs_g,GD1beta (homo sapiens),gd1b2,g
leuktrC4_r,Leukotriene C4 ER,leuktrC4,r
strdnccoa_x,Stearidonyl coenzyme A,strdnccoa,x
leuktrD4_r,Leukotriene D4 ER,leuktrD4,r
gmp_n,GMP C10H12N5O8P,gmp,n
tmndnccoa_m,Timnodonyl coenzyme A,tmndnccoa,m
6pgc_r,6-Phospho-D-gluconate,6pgc,r
leuktrE4_c,Leukotriene E4 cytosol,leuktrE4,c
tmndnccoa_x,Timnodonyl coenzyme A,tmndnccoa,x
leuktrF4_c,Leukotriene F4 cytosol,leuktrF4,c
ru5p__D_r,D-Ribulose 5-phosphate,ru5p,r
odecoa_x,Octadecenoyl-CoA (n-C18:1CoA),odecoa,x
sarcs_c,Sarcosine C3H7NO2,sarcs,c
ser__L_m,L-Serine,ser,m
nrvnccoa_x,Nervonyl coenzyme A,nrvnccoa,x
3htmelys_c,"3-Hydroxy-N6,N6,N6-trimethyl-L-lysine",3htmelys,c
4tmeabut_c,4-Trimethylammoniobutanal,4tmeabut,c
gp1calpha_hs_c,GP1c alpha  (homo sapiens),gp1calpha,c
gp1calpha_hs_g,GP1c alpha  (homo sapiens),gp1calpha,g
tettet6coa_x,Tetracosatetraenoyl coenzyme A,tettet6coa,x
gp1c_hs_c,GP1c (homo sapiens),gp1c,c
glac_c,"D-glucurono-6,3-lactone",glac,c
tetpent3coa_x,"Tetracosapentaenoyl coenzyme A, n-3",tetpent3coa,x
glcr_c,D-Glucarate,glcr,c
gp1c_hs_g,GP1c (homo sapiens),gp1c,g
hdca_r,Hexadecanoate (n-C16:0),hdca,r
glac_r,"D-glucurono-6,3-lactone",glac,r
tetpent6coa_x,"Tetracosapentaenoyl coenzyme A, n-6",tetpent6coa,x
glygn2_c,"Glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})",glygn2,c
em2emgacpail_prot_hs_r,"(phosphoethanolaminyl-dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol",em2emgacpail,r
tethex3coa_x,Tetracosahexaenoyl coenzyme A,tethex3coa,x
gpi_prot_hs_r,Glycophosphatidylinositol (GPI)-anchored protein,gpi,r
glygn1_c,"Glycogen, structure 1 (glycogenin-11[1,4-Glc])",glygn1,c
hs_deg9_l,"Heparan sulfate, degradation product 9",hs,l
mgacpail_hs_r,Mannosyl-glucosaminyl-acylphosphatidylinositiol (H2),mgacpail,r
gq1balpha_hs_c,GQ1balpha (homo sapiens),gq1balpha,c
hexccoa_x,Hexacosanoyl CoA  n C260CoA  C47H82N7O17P3S,hexccoa,x
gq1balpha_hs_g,GQ1balpha (homo sapiens),gq1balpha,g
glcur_l,D-Glucuronate,glcur,l
hs_deg10_l,"Heparan sulfate, degradation product 10",hs,l
gq1b_hs_c,GQ1b (homo sapiens),gq1b,c
dcacoa_c,Decanoyl-CoA (n-C10:0CoA),dcacoa,c
gq1b_hs_g,GQ1b (homo sapiens),gq1b,g
cs_a_deg2_l,"Chondroitin sulfate A (GalNAc4S-GlcA), degradation product 2",cs,l
pydam_c,Pyridoxamine,pydam,c
cs_a_deg3_l,"Chondroitin sulfate A (GalNAc4S-GlcA), degradation product 3",cs,l
cs_c_deg2_l,"Chondroitin sulfate C (GalNAc6S-GlcA), degradation product 2",cs,l
gsn_c,Guanosine,gsn,c
gsn_l,Guanosine,gsn,l
pyam5p_c,Pyridoxamine 5-phosphate,pyam5p,c
gt1a_hs_c,GT1a (homo sapiens),gt1a,c
gt1a_hs_g,GT1a (homo sapiens),gt1a,g
cs_c_deg3_l,"Chondroitin sulfate C (GalNAc6S-GlcA), degradation product 3",cs,l
taur_c,Taurine C2H7NO3S,taur,c
cs_d_deg3_l,"Chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 3",cs,l
gthox_m,Oxidized glutathione,gthox,m
cs_d_deg4_l,"Chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 4",cs,l
icit_c,Isocitrate,icit,c
cs_e_deg3_l,"Chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 3",cs,l
gthrd_r,Reduced glutathione,gthrd,r
gua_c,Guanine,gua,c
icit_x,Isocitrate,icit,x
xan_c,Xanthine,xan,c
cs_e_deg4_l,"Chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4",cs,l
ha_l,Hyaluronan,ha,l
3ityr__L_c,3-Iodo-L-tyrosine,3ityr,c
ha_deg1_l,Hyaluronan degradation product 1,ha,l
guln__L_c,L-gulonate,guln,c
iodine_c,Iodine c,iodine,c
glcur1p_c,D-Glucuronate 1-phosphate,glcur1p,c
ha_pre1_l,"Hyaluronan biosynthesis, precursor 1",ha,l
35diotyr_c,"3,5-Diiodo-L-tyrosine",35diotyr,c
cs_b_pre4_g,"Chondroitin sulfate B (IdoA2S-GalNAc4S), precursor 4",cs,g
hs_pre10_g,"Heparan sulfate, precursor 10",hs,g
pe_hs_r,Phosphatidylethanolamine (homo sapiens),pe,r
triodthy_c,Triiodothyronine,triodthy,c
emgacpail_hs_r,Phosphoethanolaminyl-mannosyl-glucosylaminyl-acylphosphatidylinositol (H5),emgacpail,r
hs_pre11_g,"Heparan sulfate, precursor 11",hs,g
thyox__L_c,L-Thyroxine,thyox,c
cs_a_b_e_pre1_g,"Chondroitin sulfate A (GalNAc4S-GlcA), B (IdoA2S-GalNAc4S), and E (GalNAc4,6diS-GlcA), precursor 1",cs,g
m2gacpail_hs_r,Dimannosyl-glucosaminyl-acylphosphatidylinositol (H3),m2gacpail,r
h2o2_l,Hydrogen peroxide,h2o2,l
tyr__L_c,L-Tyrosine,tyr,c
h2o2_n,Hydrogen peroxide,h2o2,n
udpglcur_g,UDP-D-glucuronate,udpglcur,g
cs_c_d_e_pre1_g,"Chondroitin sulfate C (GalNAc6S-GlcA) and D (GlcNAc6S-GlcA2S), precursor 1",cs,g
hs_deg5_l,"Heparan sulfate, degradation product 5",hs,l
cs_d_pre2_g,Chondroitin sulfate D (GlcNAc6S-GlcA2S) precursor 2,cs,g
m3gacpail_hs_r,Trimannosyl-glucosaminyl-acylphosphatidylinositol (H4),m3gacpail,r
em3gacpail_hs_r,Phosphoethanolaminyl-trimannosyl-glucosaminyl-acylphosphatidylinositol (H6),em3gacpail,r
idour_l,L-Iduronate,idour,l
emem2gacpail_hs_r,"(phosphoethanolaminyl-mannosyl),(phosphoethanolaminyl)-dimannosyl-glucosaminyl-acylphosphatidylinositol (H7)",emem2gacpail,r
cs_e_pre2_g,"Chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 2",cs,g
hs_pre1_g,"Heparan sulfate, precursor 1",hs,g
hs_deg16_l,"Heparan sulfate, degradation product 16",hs,l
hs_pre2_g,"Heparan sulfate, precursor 2",hs,g
em2emgacpail_hs_r,"(phosphoethanolaminyl-dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol (H7)",em2emgacpail,r
m3emgacpail_hs_r,"(trimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol (M4C)",m3emgacpail,r
hs_deg17_l,"Heparan sulfate, degradation product 17",hs,l
gpi_hs_r,Glycophosphatidylinositol (GPI) anchor precursor (3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol) (H8),gpi,r
hs_pre3_g,"Heparan sulfate, precursor 3",hs,g
hs_pre4_g,"Heparan sulfate, precursor 4",hs,g
hs_deg22_l,"Heparan sulfate, degradation product 22",hs,l
hs_pre5_g,"Heparan sulfate, precursor 5",hs,g
mem2emgacpail_hs_r,"({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B)",mem2emgacpail,r
hs_deg23_l,"Heparan sulfate, degradation product 23",hs,l
pre_prot_r,Glycophosphatidylinositol (GPI)-anchored protein precursor,pre,r
hs_pre6_g,"Heparan sulfate, precursor 6",hs,g
cs_b_deg3_l,"Chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 3",cs,l
hs_pre7_g,"Heparan sulfate, precursor 7",hs,g
hs_pre8_g,"Heparan sulfate, precursor 8",hs,g
udpglcur_c,UDP-D-glucuronate,udpglcur,c
hcoumarin_c,Umbelliferone; 7-Hydroxy-2H-1-Benzopyran-2-one,hcoumarin,c
hestratriol_c,"4,17 dihydroxy estradiol",hestratriol,c
hs_deg3_l,"Heparan sulfate, degradation product 3",hs,l
idour_c,L-Iduronate,idour,c
hs_deg4_l,"Heparan sulfate, degradation product 4",hs,l
hs_deg8_l,"Heparan sulfate, degradation product 8",hs,l
hestratriol_r,"4,17 dihydroxy estradiol",hestratriol,r
4mlacac_c,4 Maleylacetoacetate C8H6O6,4mlacac,c
idp_n,IDP C10H11N4O11P2,idp,n
his__L_c,L-Histidine,his,c
hs_deg14_l,"Heparan sulfate, degradation product 14",hs,l
hs_deg15_l,"Heparan sulfate, degradation product 15",hs,l
hista_c,Histamine extracellular,hista,c
ile__L_e,L-Isoleucine,ile,e
his__L_e,L-Histidine,his,e
hs_deg20_l,"Heparan sulfate, degradation product 20",hs,l
ile__L_c,L-Isoleucine,ile,c
hs_deg21_l,"Heparan sulfate, degradation product 21",hs,l
im4act_c,Imidazole-4-acetaldehyde,im4act,c
hs_deg24_l,"Heparan sulfate, degradation product 24",hs,l
ile__L_m,L-Isoleucine,ile,m
hs_deg25_l,"Heparan sulfate, degradation product 25",hs,l
itacon_m,Itaconate C5H4O4,itacon,m
hs_pre9_g,"Heparan sulfate, precursor 9",hs,g
aacoa_c,Acetoacetyl-CoA,aacoa,c
itp_n,ITP C10H11N4O14P3,itp,n
hmgcoa_c,Hydroxymethylglutaryl CoA C27H39N7O20P3S,hmgcoa,c
uacgam_c,UDP-N-acetyl-D-glucosamine,uacgam,c
f1p_c,D-Fructose 1-phosphate,f1p,c
ump_c,UMP C9H11N2O9P,ump,c
glc__D_g,D-Glucose,glc,g
hmgcoa_m,Hydroxymethylglutaryl CoA C27H39N7O20P3S,hmgcoa,m
xylu__D_c,D-Xylulose,xylu,c
hmgcoa_x,Hydroxymethylglutaryl CoA C27H39N7O20P3S,hmgcoa,x
hom__L_c,L-Homoserine,hom,c
glcur_c,D-Glucuronate,glcur,c
tag__D_c,D-Tagatose,tag,c
glcur_r,D-Glucuronate,glcur,r
pheme_c,Protoheme C34H30FeN4O4,pheme,c
dxtrn_c,"Phosphorylase-limit dextrin (glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]})",dxtrn,c
ksii_core2_g,Keratan sulfate II (core 2-linked),ksii,g
glygn3_c,"Glycogen, structure 3 (glycogenin-7[1,4-Glc])",glygn3,c
pristanal_x,Pristanal c,pristanal,x
ksii_core2_l,Keratan sulfate II (core 2-linked),ksii,l
phyt2ohcoa_x,2-Hydroxyphytanoyl-CoA,phyt2ohcoa,x
guln__L_r,L-gulonate,guln,r
ksii_core4_g,Keratan sulfate II (core 4-linked),ksii,g
gullac_r,"L-Gulono-1,4-lactone",gullac,r
gln__L_m,L-Glutamine,gln,m
hpdcacrn_c,Heptadecanoyl carnitine,hpdcacrn,c
hpdcacrn_m,Heptadecanoyl carnitine,hpdcacrn,m
ksii_core4_l,Keratan sulfate II (core 4-linked),ksii,l
hpyr_c,Hydroxypyruvate,hpyr,c
gullac_c,"L-Gulono-1,4-lactone",gullac,c
k_g,Potassium,k,g
glucys_c,Gamma-L-Glutamyl-L-cysteine,glucys,c
hpyr_m,Hydroxypyruvate,hpyr,m
anth_c,Anthranilate,anth,c
hpyr_x,Hydroxypyruvate,hpyr,x
hretn_c,4 hydroxy retinoic acid,hretn,c
5forthf_c,5-Formiminotetrahydrofolate,5forthf,c
forglu_c,N-Formimidoyl-L-glutamate,forglu,c
4aphdob_c,"4-(2-Aminophenyl)-2,4-dioxobutanoate",4aphdob,c
hs_deg1_l,"Heparan sulfate, degradation product 1",hs,l
oxa_x,Oxalate,oxa,x
kynate_c,4-Hydroxy-2-quinolinecarboxylic acid,kynate,c
glx_c,Glyoxylate,glx,c
hs_deg2_l,"Heparan sulfate, degradation product 2",hs,l
lcts_e,Lactose C12H22O11,lcts,e
hs_deg6_l,"Heparan sulfate, degradation product 6",hs,l
glyb_e,Glycine betaine,glyb,e
lgt__S_c,(R)-S-Lactoylglutathione,lgt,c
glyc3p_m,Glycerol 3-phosphate,glyc3p,m
hs_deg7_l,"Heparan sulfate, degradation product 7",hs,l
hs_deg12_l,"Heparan sulfate, degradation product 12",hs,l
lald__L_m,L-Lactaldehyde,lald,m
hs_deg13_l,"Heparan sulfate, degradation product 13",hs,l
2pg_c,D-Glycerate 2-phosphate,2pg,c
lac__L_m,L-Lactate,lac,m
glyc__R_c,(R)-Glycerate,glyc,c
hs_deg18_l,"Heparan sulfate, degradation product 18",hs,l
hs_deg19_l,"Heparan sulfate, degradation product 19",hs,l
glyclt_c,Glycolate C2H3O3,glyclt,c
lcts_g,Lactose C12H22O11,lcts,g
glyclt_x,Glycolate C2H3O3,glyclt,x
cortsn_r,Cortsn r,cortsn,r
3spyr_c,3-Sulfopyruvate,3spyr,c
tststerone_r,Tststerone c,tststerone,r
glyc__S_c,(S)-Glycerate,glyc,c
leuktrA4_r,Leukotriene A4 cytosol,leuktrA4,r
glyc_c,Glycerol,glyc,c
andrstndn_r,"Androst-4-ene-3,17-dione",andrstndn,r
nadph_x,Nicotinamide adenine dinucleotide phosphate - reduced,nadph,x
glyc_m,Glycerol,glyc,m
leuktrB4_c,Leukotriene B4(1-),leuktrB4,c
gthrd_m,Reduced glutathione,gthrd,m
nadp_x,Nicotinamide adenine dinucleotide phosphate,nadp,x
leuktrB4_r,Leukotriene B4(1-),leuktrB4,r
cholcoaone_x,"3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA",cholcoaone,x
eandrstrn_r,16alpha-hydroxydehydroepiandrosterone,eandrstrn,r
lgt__S_m,(R)-S-Lactoylglutathione,lgt,m
leuktrC4_c,Leukotriene C4 ER,leuktrC4,c
malcoa_x,Malonyl CoA C24H33N7O19P3S,malcoa,x
mercplaccys_c,3-mercaptolactate-cysteine disulfide,mercplaccys,c
andrstandn_r,"5alpha-androstane-3,17-dione",andrstandn,r
prgnlone_c,Prgnlone c,prgnlone,c
leuktrD4_c,Leukotriene D4 ER,leuktrD4,c
prgstrn_r,Prgstrn c,prgstrn,r
mercplac_c,3-Mercaptolactate,mercplac,c
leu__L_e,L-Leucine,leu,e
tcynt_c,Thiocyanate,tcynt,c
prgnlone_r,Prgnlone c,prgnlone,r
17ahprgnlone_c,17alpha-Hydroxypregnenolone,17ahprgnlone,c
leu__L_c,L-Leucine,leu,c
17ahprgstrn_c,17alpha-Hydroxyprogesterone,17ahprgstrn,c
5mdru1p_c,5-Methylthio-5-deoxy-D-ribulose 1-phosphate,5mdru1p,c
leu__L_m,L-Leucine,leu,m
mescon_m,Mesaconate;(E)-2-Methyl-2-butenedioic acid,mescon,m
17ahprgnlone_r,17alpha-Hydroxypregnenolone,17ahprgnlone,r
nformanth_c,N-Formylanthranilate,nformanth,c
17ahprgstrn_r,17alpha-Hydroxyprogesterone,17ahprgstrn,r
mescoa_m,Mesaconyl-CoA,mescoa,m
limnen_c,Limnen c,limnen,c
fna5moxam_c,Formyl-N-acetyl-5-methoxykynurenamine,fna5moxam,c
xol7aone_r,7alpha-Hydroxycholest-4-en-3-one,xol7aone,r
xyl__D_l,D-Xylose,xyl,l
xol7a_r,7 alpha-Hydroxycholesterol,xol7a,r
6hoxmelatn_c,6hoxmelatn c,6hoxmelatn,c
cs_a_deg5_l,"Chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5",cs,l
meoh_c,Methanol,meoh,c
meoh_l,Methanol,meoh,l
hspg_l,Heparan sulfate proteoglycan,hspg,l
hs_l,"Heparan sulfate, free chain",hs,l
cs_c_deg5_l,"Chondroitin sulfate C (GalNAc6S-GlcA), degradation product 5",cs,l
hspg_g,Heparan sulfate proteoglycan,hspg,g
mepi_c,Metanephrine,mepi,c
cs_e_deg7_l,"Chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 7",cs,l
mepi_e,Metanephrine,mepi,e
htaxol_c,Hydroxylated taxol,htaxol,c
lipoate_c,Lipoate,lipoate,c
hxan_c,Hypoxanthine,hxan,c
hxan_x,Hypoxanthine,hxan,x
met__L_e,L-Methionine,met,e
lac__L_c,L-Lactate,lac,c
mev__R_x, R  Mevalonate C6H11O4,mev,x
lneldccrn_c,Linoelaidyl carnitine,lneldccrn,c
5pmev_x, R  5 Phosphomevalonate C6H10O7P,5pmev,x
nrpphrsf_c,Sulfate derivative of norepinephrine,nrpphrsf,c
lneldccrn_m,Linoelaidyl carnitine,lneldccrn,m
sT_antigen_g,ST antigen g,sT,g
mhista_c,N-Methylhistamine,mhista,c
lnlccrn_c,Linoleyl carnitine,lnlccrn,c
minohp_c,Myo-Inositol hexakisphosphate,minohp,c
dimp_c,DIMP C10H12N4O7P,dimp,c
lnlccrn_m,Linoleyl carnitine,lnlccrn,m
uri_e,Uridine,uri,e
mi1345p_c,1D myo Inositol 1 3 4 5 tetrakisphosphate C6H8O18P4,mi1345p,c
lnlncacrn_c,Alpha-linolenyl carnitine,lnlncacrn,c
mi134p_c,"1D-myo-Inositol 1,3,4-trisphosphate",mi134p,c
mi13p_c,"1D-myo-Inositol 1,3-bisphosphate",mi13p,c
uri_l,Uridine,uri,l
ump_l,UMP C9H11N2O9P,ump,l
lnlncacrn_m,Alpha-linolenyl carnitine,lnlncacrn,m
cmp_l,CMP C9H12N3O8P,cmp,l
mi34p_c,"1D-myo-Inositol 3,4-bisphosphate",mi34p,c
lnlncgcrn_c,Gamma-linolenyl carnitine,lnlncgcrn,c
mi1p__D_c,1D-myo-Inositol 1-phosphate,mi1p,c
dtmp_l,DTMP C10H13N2O8P,dtmp,l
lnlncgcrn_m,Gamma-linolenyl carnitine,lnlncgcrn,m
thymd_l,Thymidine C10H14N2O5,thymd,l
mi145p_c,1D myo Inositol 1 4 5 trisphosphate C6H9O15P3,mi145p,c
mi14p_c,"1D-myo-Inositol 1,4-bisphosphate",mi14p,c
44mctr_c,4 4 dimethylcholesta 8 14 24 trienol C29H46O,44mctr,c
mi4p__D_c,1D-myo-Inositol 4-phosphate,mi4p,c
dtmp_m,DTMP C10H13N2O8P,dtmp,m
lanost_c,Lanosterol C30H50O,lanost,c
thymd_m,Thymidine C10H14N2O5,thymd,m
mi14p_n,"1D-myo-Inositol 1,4-bisphosphate",mi14p,n
lanost_r,Lanosterol C30H50O,lanost,r
mi1p__D_n,1D-myo-Inositol 1-phosphate,mi1p,n
amp_l,AMP C10H12N5O7P,amp,l
gmp_l,GMP C10H12N5O8P,gmp,l
Ssq23epx_r, S  Squalene 2 3 epoxide C30H50O,Ssq23epx,r
xmp_c,Xanthosine 5-phosphate,xmp,c
mi3p__D_c,1D-myo-Inositol 3-phosphate,mi3p,c
minohp_n,Myo-Inositol hexakisphosphate,minohp,n
lpchol_hs_c,Lysophosphatidylcholine (homo sapiens),lpchol,c
malttr_c,Maltotriose C18H32O16,malttr,c
o2s_m,Superoxide anion,o2s,m
g3pc_c,Sn-Glycero-3-phosphocholine,g3pc,c
o2s_n,Superoxide anion,o2s,n
o2s_x,Superoxide anion,o2s,x
malttr_e,Maltotriose C18H32O16,malttr,e
thp2c_x,"2,3,4,5-Tetrahydropyridine-2-carboxylate",thp2c,x
malttr_l,Maltotriose C18H32O16,malttr,l
o2_n,O2 O2,o2,n
mmcoa__S_m,(S)-Methylmalonyl-CoA,mmcoa,m
mag_hs_c,Monoacylglycerol 2 (homo sapiens),mag,c
mmcoa__R_m,(R)-Methylmalonyl-CoA,mmcoa,m
succ_m,Succinate,succ,m
glyc_e,Glycerol,glyc,e
omeprazole_c,Omeprazole c,omeprazole,c
onpthl_c,Naphthalene epoxide,onpthl,c
oretn_c,4-oxo-retonoic acid,oretn,c
5mta_c,5-Methylthioadenosine,5mta,c
5mdr1p_c,5-Methylthio-5-deoxy-D-ribose 1-phosphate,5mdr1p,c
methf_m,"5,10-Methenyltetrahydrofolate",methf,m
retn_c,Retinoate,retn,c
retfa_c,Fatty acid retinol,retfa,c
13_cis_oretn_c,13-cis-oxo-retinoic acid,13,c
4aabutn_c,4 Acetamidobutanoate C6H10NO3,4aabutn,c
Nacasp_c,N-Acetyl-L-aspartate,Nacasp,c
13_cis_retn_c,13-cis-retinoate,13,c
retinol_c,All-trans-Retinol,retinol,c
orn_e,Ornithine,orn,e
ksi_deg7_l,"Keratan sulfate I, degradation product 7",ksi,l
11_cis_retfa_c,Fatty acid 11-cis-retinol,11,c
ksi_deg10_l,"Keratan sulfate I, degradation product 10",ksi,l
orot5p_c,Orotidine 5-phosphate,orot5p,c
retinol_cis_11_c,11-cis-Retinol,retinol,c
prgnlone_m,Prgnlone c,prgnlone,m
xoltriol_m,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane",xoltriol,m
ksi_deg13_l,"Keratan sulfate I, degradation product 13",ksi,l
ksi_deg16_l,"Keratan sulfate I, degradation product 16",ksi,l
9_cis_retfa_c,Fatty acid 9-cis-retinol,9,c
ksi_deg19_l,"Keratan sulfate I, degradation product 19",ksi,l
xoltetrol_m,"3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane",xoltetrol,m
retinol_9_cis_c,9-cis-retinol,retinol,c
thcholst_m,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al",thcholst,m
ksi_deg22_l,"Keratan sulfate I, degradation product 22",ksi,l
ksi_deg25_l,"Keratan sulfate I, degradation product 25",ksi,l
pd3_c,Previtamin D3,pd3,c
ksi_deg28_l,"Keratan sulfate I, degradation product 28",ksi,l
thcholstoic_m,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate",thcholstoic,m
trp__L_c,L-Tryptophan,trp,c
xol7ah2_m,"3alpha,7alpha-Dihydroxy-5beta-cholestane",xol7ah2,m
xol7ah3_m,"3alpha,7alpha,26-Trihydroxy-5beta-cholestane",xol7ah3,m
ksi_deg31_l,"Keratan sulfate I, degradation product 31",ksi,l
ksi_deg34_l,"Keratan sulfate I, degradation product 34",ksi,l
trypta_c,Tryptamine cytosol,trypta,c
cs_a_deg1_l,"Chondroitin sulfate A (GalNAc4S-GlcA), degradation product 1",cs,l
xol7ah2al_m,"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al",xol7ah2al,m
lys__L_x,L-Lysine,lys,x
xol27oh_m,27-Hydroxycholesterol,xol27oh,m
ksi_deg37_l,"Keratan sulfate I, degradation product 37",ksi,l
6a2ohxnt_x,6-Amino-2-oxohexanoate,6a2ohxnt,x
ksii_core2_deg4_l,"Keratan sulfate II (core 2-linked), degradation product 4",ksii,l
ksii_core2_deg7_l,"Keratan sulfate II (core 2-linked), degradation product 7",ksii,l
taxol_c,Paclitaxel,taxol,c
tolbutamide_c,Tolbutamide c,tolbutamide,c
3mldz_c,3-Methylimidazole acetaldehyde,3mldz,c
perillyl_c,Perillyl alcohol,perillyl,c
ksii_core4_deg4_l,"Keratan sulfate II (core 4-linked), degradation product 4",ksii,l
malt_l,Maltose C12H22O11,malt,l
cs_a_deg4_l,"Chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4",cs,l
xoltri24_r,"7-alpha,24(S)-Dihydroxycholesterol",xoltri24,r
malt_c,Maltose C12H22O11,malt,c
xol24oh_r,24-Hydroxycholesterol,xol24oh,r
hnifedipine_c,Hnifedipine c,hnifedipine,c
cs_b_deg1_l,"Chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 1",cs,l
cs_b_deg2_l,"Chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 2",cs,l
man_e,D-Mannose,man,e
cs_c_deg1_l,"Chondroitin sulfate C (GalNAc6S-GlcA), degradation product 1",cs,l
whtststerone_r,W hydroxy testosterone; 19-Hydroxytestosterone,whtststerone,r
normete__L_c,L-Normetanephrine,normete,c
12harachd_r,12 hydroxy arachidonic acid,12harachd,r
cs_c_deg4_l,"Chondroitin sulfate C (GalNAc6S-GlcA), degradation product 4",cs,l
cs_d_deg1_l,"Chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 1",cs,l
3mgcoa_m,3-Methylglutaconyl-CoA,3mgcoa,m
cs_d_deg2_l,"Chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 2",cs,l
wharachd_r,W-hydroxyl arachidonic acid,wharachd,r
phe__L_e,L-Phenylalanine,phe,e
leuktrB4woh_r,W-hydroxyl leukotriene B4,leuktrB4woh,r
18harachd_r,18 hydroxy arachidonic acid,18harachd,r
cs_d_deg5_l,"Chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 5",cs,l
cs_d_deg6_l,"Chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 6",cs,l
phe__L_c,L-Phenylalanine,phe,c
cs_e_deg2_l,"Chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 2",cs,l
xoltri25_r,"7-alpha,25-Dihydroxycholesterol",xoltri25,r
phe__L_m,L-Phenylalanine,phe,m
xoltri27_r,"7-alpha,27-Dihydroxycholesterol",xoltri27,r
cs_e_deg6_l,"Chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 6",cs,l
xol27oh_r,27-Hydroxycholesterol,xol27oh,r
nac_e,Nicotinate,nac,e
phpyr_m,Phenylpyruvate,phpyr,m
nac_c,Nicotinate,nac,c
xoldiolone_r,"7alpha,12alpha-Dihydroxycholest-4-en-3-one",xoldiolone,r
leuktrB4wcooh_r,W-carboxy leukotriene B4,leuktrB4wcooh,r
20ahchsterol_m,20alpha-hydroxy cholesterol,20ahchsterol,m
adprbp_c,ADPribose 2-phosphate,adprbp,c
ncam_c,Nicotinamide,ncam,c
thbpt4acam_c,Tetrahydrobiopterin-4a-carbinolamine,thbpt4acam,c
nad_n,Nicotinamide adenine dinucleotide,nad,n
pro__L_m,L-Proline,pro,m
succ_x,Succinate,succ,x
pa_hs_r,Phosphatidic acid (homo sapiens),pa,r
udp_l,UDP C9H11N2O12P2,udp,l
udpacgal_l,UDP-N-acetyl-D-galactosamine,udpacgal,l
